"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Fiji"
"Iraq",347.3,65.3,0,30.7,9,9,0,0.03,0.003,9,0.2,9,9,0,0,0.2,0,0,9,9,0,9,11.9,806.496,0,9,0.01,9.3,18.574,13.1,7.36,120.1,28.9032,1.2969,817.6,48.1,445.26,233.23,0,29.2,42.52,216,56.6,69.9,1498.8,0.05,9,372.22,32.06,17.45,33.4,27.7,112.1,0.99,81.4,1.24,24.53,0.009,0,0,0,0,0,0,0,0.211,9,0,16.17,9,9,0,9.002,7.248,0.539,0,0.1,0,0,9,0,0,0.23,3.706,2.342,0,0,3.637,1.7,9,21.524,0.2727,9,0,9,0,10.6,9.1,0,0,0.183,137.37,0.37,54.73,0,49.406,7.8,480.56,0,7.98,14.64,57.6,5.29,0,0.2,1.094,0,5.2,0.32,0.18,0.7,2.5,1.28,77.1,0,10.1,9.6,24.8,368.7,193.32,0,1.35,13.59,2.9,18.736,0,0,17.89,0,0,0,0,66.4,95.58,28.1,7.8,89.17,0.003,4.62,0.025
"Egypt",723.93,3.64,15.31,16.17,0,0,0.039,0,0.148,0,0.03,2.657,0,0,0.003,0,4.78,0.09,0,0,0,0.05,0.98,5.334,0,0,8.23,0.23,3.18,85,0.39,81.04,31.6116,1.4184,379.68,73.58,14.32,1.99,0,18.57,25.34,19.32,0.24,44.49,69.09,0.17,0.69,34.73,18.08,0.136,3.59,64.33,373.31,10.11,31.55,3.99,4.71,0.002,0,0,0,0,0,0.833,0.05,0.011,0,0,0.3,0.86,0,0.238,0.456,6.775,0.021,2.24,0.01,0,0.184,0,0.013,1.69,4.04,7.135,4.049,0.17,0,1.214,13.472,0,7.1,11.4136,0,1.83,0.01,0,0,0,0,0,0.016,3.35,5.13,2.06,20.57,15.405,59.51,13.99,7.98,0,7.8,74.62,15.87,0,119.43,2.579,0.1,3.54,0.06,0.14,1.17,0.08,0,15.4,0,0.08,19.09,2.7,117.56,27.1,0,0.35,2.5,0,5.091,0,0,3.66,0,0.01,0,0,0.86,4.72,1.19,0.99,171.53,0,1.85,0.001
"Syria",102.33,0.89,0.01,5.35,0.012,9,0.006,0,0,0,9,0,0,0,0,0.134,1.025,0,0,0,0,0.71,0,80.404,0,9,0,9.66,9.444,59.73,1.87,46.44,2.4884,0.1116,15.7,64.89,28.95,0.26,0,11.22,16,34.36,5.67,38.51,169.63,0.03,0,6.22,152.61,9.506,2.88,52.07,2.59,1.86,18.24,0.93,9.6,0.039,0,0,0,0,0,0,9,9,0,0,0.51,9,0,0,9.003,0.209,9,0.143,0,0,0,0,9,0,0.024,0.17,0.049,0,9,0,0.107,0,0,0,0,0,9,0,0,0,0,0,0,3.67,2.38,0.21,3.18,0.334,6.04,0.22,14.64,7.8,0,59.16,3.91,9,190.75,0.528,0.01,6.37,0.15,2.22,2.5,0.1,9.17,22.48,0,0,0,0,74.12,13.63,0,0.68,6.76,9,3.82,0,0,9,0,0,0,0,1.26,6.97,0,0,0,9,1.4,0
"Lebanon",334,38.6,0,0,0.017,9,0.206,9,9,9,3.7,9,0.958,0,0.005,0.611,9.011,0.02,0,0,0,0.04,0.64,17.437,0,9,0,6.19,9.026,136.8,1.28,36.1,44.6946,2.0054,141.5,43.3,32.94,7.92,0,0,0,22.7,10.53,0,174.9,0.27,0,7.33,25.56,2.71,0,59.84,0,5.46,18.5,2.14,8.77,0.022,0,0,9,0,0,0,0,0,0,0.034,3.4,0,0,0.99,0.417,2.388,0.001,0.005,13.8,1.949,0.083,0,0.004,0,0.321,0.035,0.004,0,9,0,1.65,0,0.848,1.0975,0,9,0,0,0,0,0,9,0,0.64,1.25,0.13,86,2.076,52.1,38.72,57.6,74.62,59.16,0,21.36,0,383.3,0.922,0,46.4,4.83,25.45,56.4,5.87,3.41,0,0,0,0,0,82,4.1,0,1.26,9.25,0,0,0,0,1.36,0,0,0,0,0.44,2.93,2.9,1.1,28.52,9.038,1.25,9
"Jordan",55.8,1.01,0,0,0.037,0,0,0,9,9.018,0,0,0.038,0,0,0.161,0,0,0,0,0,0,0,0.6,0,0,0,2.14,0.12,66.43,0.2,17.96,10.3362,0.4638,21.31,6.74,6.42,0.45,0,0.7,1.6,6.05,2.63,0.6,29.94,0.04,0,0.98,3.05,0.64,2.52,20.66,14.15,0.82,10.68,0.5,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414,3.441,1.608,9,0,0,0.912,0,0,0,0,9,0,0,9,0,0,0,0,0.33,0,0,0.1,0.794,15.91,0.72,5.29,15.87,3.91,21.36,0,0,33.16,0.921,0.05,13,0.08,1.58,2.6,0.16,0,8.44,0,0,0,0,41.47,8.88,0,0.6,0,0,1.05,0,0,0.54,0,0,0,0,0.82,0.95,0,0.8,0,0,2.08,0
"Israel",672.93,10.09,0.02,0,0.007,0.05,0.171,0.27,0.094,0,1.06,0.248,0.036,4.72,0.574,0.25,0.042,0.53,12.25,0,0.021,0.15,2.94,34.756,1.14,0.05,0.3,28.75,16.761,373.26,4.57,127,85.8864,3.8536,27.52,78.55,10.14,0.63,0,0.41,0.05,5.42,1.42,4.71,143.24,1.67,0,1.89,53.96,5.378,0.89,3.24,0.08,13.37,39.49,8.53,4.6,0.363,0,0,0,0,9,0,0.01,0.35,0,0.6,0.26,0,0.09,2.284,0.232,1.666,0.019,0.456,15.97,2.659,5.845,0,0.372,1.94,0.202,2.686,1.24,0,0,9,0.928,0,0.571,4.4264,0,0.406,1.24,0,0,0,0,9,1.829,9,0,0,0,0,41.53,9.36,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,1.12,0,10.09,0,14.3,0.52,2.39,0,0.04,0,1.4,0.06,0,0,3.41,0.04,0,0.06,0,0,11.34,0.19,0.07,14.35,0.125,1.22,0.029
"Saudi Arabia",2380.6,797.9,1025.3199,1.7,9,0,0.007,385.5,0.074,9,5,0.6,0.3,0,0,0.1,144.71,0.2,0,0,0,1.8,0,1235.725,0,0,90.7,12.63,0.3,1590.9,59.86,977.3,937.343,42.0576,2890.6001,73.3,1699.39,58.34,0,1.8,11.9,5.2,4.1,9,2186.3,0.28,0,5.7,431.16,0.305,0.9,4.7,3.8,119.74,178.3,33.4,134.68,0.5,0,0,0,9,0.1,0.1,0.1,0,0.2,0,14.51,0,0,44.129,0.2,0,0.394,0.005,0.4,0,0.3,0,0,14.6,0.292,70.288,85.674,0,2,47.744,22.549,0,5.153,109.1082,0,0.578,0.3,0,0,1.5,34.8,0,0.006,4.93,1.2,28.07,0,8.228,9.3,88.62,0.2,119.43,190.75,383.3,33.16,0,0,12.383,0.6,196,573.6,2.67,0.2,0.31,0.94,4.7,1.1,204.3,8.9,582.4,5486.3998,282.29,0,129.43,0.59,0.1,79.2,9,0,250.78,0,0.1,0.6,0,78.82,654.36,386.5,29.1,273.97,7.924,29.73,2.667
"Yemen Arab Republic",5.064,0.003,9,9,9,0,0.001,9,0,9,9,0,9,9,9,9,0.001,9,9,0,0,0,0,0.04,9,0,9,5.5,9,12.427,0.14,10.116,4.3642,0.1958,7.364,0.625,0.19,0,0,0.065,9.468,0.299,9.003,0.782,5.982,0.12,9,0.038,0.374,0.064,9,0.566,8.517,0.48,0.186,0.003,0.653,0,0,0,9,0,9,9,9,9,0,0,9,9,0,9,9,9,0.43,0,9,9,9,0,9,0,9,4.471,10.155,0,0.2,0.06,7.301,0,9,0,9,9,9,0,0,9,9,0,0,9,0,0,0,0.407,0.134,0.03,1.094,2.579,0.528,0.922,0.921,0,12.383,0,15.535,1.594,0,0.005,0.559,0,9,27.481,0,0.364,9,0.846,50.928,17.862,0,1.363,0,0,4.715,0,0,1.048,9,9,0,0,0,7.771,0,0,24.273,9,0.007,0.442
"Yemen People's Republic",2,205.7,0,0,0,9,0.001,0,0,9,0,9,0.002,0,0,9,0,0,9,0,0,0,0,0,0,0,9,0,0,10.4,0.22,5.7,0.5742,0.0258,2.7,0.3,0.08,0,0,0,0,0,0,0,3.9,0,0,0.24,0,0.003,0,0,0,0.34,1,2.41,4.92,0,0,9,0,0,0,9,0,9,9,0,0,0,0,9,0,0.004,9.012,0,2.3,0,0,0,0,0,0.961,2.251,0.391,0,0.1,0.654,2.478,0,0,0,0,9,0,9,0,0,0,9,0.003,0,0,0,0,0.847,0.8,0,0,0.1,0.01,0,0.05,9,0.6,15.535,0,35.5,0,0,0,0,9,0,0,0,0,0,13.2,7.75,0,1.42,0,9,0,9,0,0.68,0,0,0,0,0,0.27,0,0,26.72,0,0.07,0.001
"Kuwait",304.3,110.7,0,9,9,9,0.001,0,0,0,0.4,0,0.119,0,0,0,0,0.01,0,0,0,0,0.01,389.027,0,0,0,16.79,99.353,692.1,70.43,438.6,191.8901,8.6099,540.6,25,69.22,0.06,0,9.7,23.8,8.4,15,11.1,252.1,1.99,0,6,10.69,1.387,14.3,63.83,5.2,2.61,11.2,16.87,50.26,0,0,0,0,0,0,9,0,9,0,9,0,0,9,0,9,0,0.314,0.131,0,0,0,0,0,0,0.65,1.2,4.717,9,0,5.2,1.212,0,0.125,0.0009,0,0,0,0,0,0,0.7,0,0.001,0.06,4.07,0.02,0,23.259,65.8,10.25,5.2,3.54,6.37,46.4,13,0,196,1.594,35.5,0,5.7,9.06,46.4,9.09,0.87,46.4,0,345.1,0,522.6,1622.5,36.48,0,54.79,2.03,1.4,4.911,0,0,90.13,0,0,9,0,142.52,245.21,150.7,27.9,85.57,0.003,78.76,0.003
"Bahrain",23.14,1.29,0.01,0.02,0,0,0.03,0.01,0,0,0.03,2.05,0,0,0,0,0,0,0,0.01,0,0,0,9.541,0,0,0,2.27,0,67.4,0.35,12.36,6.3166,0.2834,7.33,4.19,1.5,5.29,0,0.16,1.56,3.8,0.29,0.69,28.78,0.36,9,0.24,0.2,0.61,0.02,1.08,0.41,0.16,1.46,1.44,11.12,0.002,0,0,0.01,0,0,0,0,9,0,0,0.03,0,9.01,0,0,0.019,0,0,0,9,0,0,0,9,0,0.592,0.64,0,9,0.22,0,0.01,1.829,0,0,0,2.48,0,0,9,0.07,9,0.002,0,0,0.01,0,0.017,0.5,0.06,0.32,0.06,0.15,4.83,0.08,0,573.6,0,0,5.7,0,1.6,33.49,3.28,0,21.53,9,19.67,9,2.23,108.05,10.57,0,5.41,0,0.01,0.779,9,0.01,1.02,0,0,0,0,17.19,32.97,22.71,18.93,76.5,2.505,13.71,0.003
"Qatar",331.93,6.11,9,0,0,9,0,0,0,0,0,9.04,9,0,0,0,9,0,0,0,0,9,9,0.06,9,9,0,0,9,259.55,0.24,57.02,6.2974,0.2826,192.41,7.68,1.35,0.03,0,9,9.25,8,10.37,9.61,116.77,9.31,9,0.36,0.51,9.33,9.1,9.59,9.31,0.11,70.39,11.68,8.93,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0.87,0.28,9,9,10.68,0,9,9,0,9,0,9,0,9,9,0,0,0,0,0,9.01,9,0.36,0.67,0.38,0.18,0.14,2.22,25.45,1.58,0,2.67,0.005,0,9.06,1.6,0,9.91,0.62,9,15.1,0,9.84,9,0.46,33.99,7.37,0,2.43,0,9,0.04,0,0,93.08,9,0,0,0,0.15,2.62,3.6,0,8.58,9,0.18,0
"United Arab Emirates",402.4,148,0,9,0,0,0,0,0,0,0,0,9,0,0,9,0,0.01,0,0,0,0.03,0,39.984,0,0,0.06,0,0,120.2,1.49,419,12.0589,0.5411,961.1,167.7,0,0,0,9,3.7,21.8,0,16.6,110,3.38,0,9.6,3.3,2.658,9,15.4,15.5,0.73,105.3,81.13,4.12,0,0,0,0,0,0,9,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,2.6,0,0,0,0,9,0,22.2,0,9,9,0,9,0,0.13,0,0,0,1.335,69.5,0,0.7,1.17,2.5,56.4,2.6,0,0.2,0.559,0,46.4,33.49,9.91,0,120.22,0,66.1,0,31.6,9,24.1,1335.6,17.49,0,32.51,38.99,0,0,0,9,7.4,0,0,0,0,13.1,34.01,1.7,0,30.84,0,2.33,0
"Oman",6.6,54.88,9,0,0,0,0.001,153.65,0,9,9,9,9,9,0,9,9,0,0,0,0,0,0,40.23,9,0,9,0.01,9,116.61,0.3,17.09,49.7,2.23,71.62,6.26,249.19,0.04,0,9.01,9.05,2.24,0.03,9.35,5.94,0.25,0,0.51,0.42,0.403,9.25,4.2,9.81,2.98,10.15,55.56,43.29,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.06,0,9,9,0,0,9,9.02,0,0,0,0,2.27,0.34,0,0,1.23,0.18,9,0,0,0,9,0,9,0.02,0,0,0,0,0,0,0,0,2.225,16.4,0,2.5,0.08,0.1,5.87,0.16,0,0.31,0,0,9.09,3.28,0.62,120.22,0,9,7.67,0,0.12,9,3.07,466.67,26.76,0,1.26,25.22,0.01,0.81,0,9,0.57,9,0,9.02,0,3.75,75.27,0,0.02,13.69,0.08,0.09,0
"Afghanistan",13.773,0.153,0,0,0,0,0,0,0,9,0,9,0,0,0,9,0,9,0,9,0,0,0,8.24,9,0,0,0,9,5.735,0.08,4.265,1.0336,0.0464,3.26,3.533,0.05,0,0,0.04,0.29,0.43,0,0.765,1.594,0,0,0.28,1.43,0,0.12,9.16,2.999,0.46,1.3,0.06,2.46,1.21,0,0,0,0,0,0,9,0,0,0,9,0,9,0,9,0,9.001,0,0,0,9,0,9,9,0,9,0,9,9,0,0,0,0.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,4.764,0.01,1.28,0,9.17,3.41,0,0,0.94,9,9,0.87,0,9,0,9,0,0.05,0,0.047,0,0,66.901,20.805,0,16.741,0.43,0,0.3,0,0,0.645,0,0,0,0,0.555,4.438,0,0.003,0.015,0,0.027,0
"China",133,309.6,0.01,0,0.403,9,0.92,2.39,0.586,0.191,16.7,0,0.788,0.328,0.199,0.2,0.409,0.01,0,0.521,5.223,0.22,47.83,82.097,0,0,12.26,20.44,0.118,46,2.63,52.9,1.8184,0.0816,199.5,25.7,10.68,0.55,0,0,13.56,15.9,11.36,0,15.9,3.01,0,6.09,0.66,0.265,0,16.78,0,8.1,6.2,100.19,0.73,10.662,0,9,0.864,9,8.076,20.124,8.651,7.092,0,1.876,5.8,0,2.454,5.445,10.723,3.066,6.475,5.567,62.1,5.161,0.261,1.361,5.632,6.1,4.483,0.209,63.531,2.959,3,7.089,3.492,0,0.086,6.2949,0,0,0,0,0,0,0,0.5,9.198,21.85,12.47,1.58,11,9.043,61.9,20.47,77.1,15.4,22.48,0,8.44,1.12,4.7,27.481,0,46.4,21.53,15.1,66.1,7.67,0.05,0,0,0,0,0,728.8,0.93,0,40.18,2.6,4.156,28.563,0,0,2.31,0,0,0,0,96.53,245.49,27.8,203.5,231.73,4.827,1.53,3.201
"Mongolia",1,0,0,0,0,0,0,0,0,0,0,9,9,0,0,9,0,9,0,0,9,0,0,9,0,0,0,0,9,0.2,0,0.4,9,9,0.1,0.1,0,0,0,0,0,0.6,1.2,0,0.4,0,0,0.01,0.01,0,0,0.21,0,9.09,0.1,0,0.03,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,0,0,0,0,0,0,0,1.1,0,0,0,9,0,0,0,0,0,0,0,0,0,0.4,9,0,0.07,9,9,0,0,0,9,0,0,0,0,0,0,0,0,0,9,9.01,0
"Taiwan",505.1001,158.4,0.03,0,0,9,6.371,3.5,0.072,0,0,1.1,1.973,1.505,5.57,1.331,3.871,0.39,0,1.885,0,6.74,16.93,0.484,0,1.214,15.72,11.1,1.817,88.5,2.61,69.8,23.4479,1.0521,13.3,4,9.16,0.6,0,0,0,13.4,0,0,36.4,1.49,0,0,11.92,0.972,0,0,0,4.04,20.8,1.79,3.76,0.845,0,0,0,9,0.358,0,0,0,0,0.535,15.88,0,2.103,4.669,2.197,4.248,0.905,4.945,0,4.256,0.086,1.927,0.918,0,0.095,4.451,6.301,0.067,0,0,2.381,0,2.524,1.565,0,0,0,0,0,0,0,0,3.352,20.04,0,0.04,71.5,5.318,14.7,2.89,10.1,0.08,0,0,0,10.09,204.3,0.364,0,345.1,19.67,9.84,31.6,0.12,0.047,0,0,0,0,99.1,1008.8,3.02,0,0,0.1,0,0,0,0,26.33,0,0,0,0,18.04,105.99,56.2,25.4,16.74,0.226,11.31,2.026
"North Korea",10,4.3,0.3,0,0,9,0,9.13,9.001,9,9,0,0,0,0,0.011,0,0.04,0,0,0,9.06,7.91,0.099,0,9,0.01,0.05,0,1.6,1.25,3.3,4.6896,0.2104,19.8,9.6,0.69,0.19,0,0,0,23.3,0.36,0,9.6,9,0,10.16,0.03,0,0,5.72,0,0.46,66,1.2,20.12,0,0,0,9,0,0,0.044,0,9,0,9,0,0,0,9,9.272,0,0.277,0.117,0,0.004,0,0,0.027,0,0.172,9.072,1.186,0.893,0.1,9,0.016,0,9.014,9.0209,0,9,0,0,0,0,0,0,0,9,1.64,0,0,0.169,9.8,0,9.6,19.09,0,0,0,0,8.9,9,0,0,9,9,9,9,0,0,0,0,0,0,116.3,2.47,0,1.5,0.18,1.876,0,0,0,0.02,0,0,0,0,2.08,4.03,1.4,100.5,3.7,0.015,9,0.01
"South Korea",295.1,28.7,0,0,0,0,0.551,1.11,0.191,0,1.1,0.135,0.459,0,0.146,1.414,2.059,0.91,0,0.512,0.204,1.22,2.18,5.687,0,0.003,4.73,11.23,0.492,41.7,9.36,71.3,2.5841,0.1159,79.5,10.2,5.58,0.03,0,0,19.92,6.9,0,0,35.9,0.09,0,13.41,1.43,0.549,0,0,0,7.09,36.2,4.38,15.08,1.187,0,9,0,0,0,0,0,0,0,0,0.89,0,0.004,0,0.715,1.558,0.029,0.306,33.4,0.004,0,0,0.016,0,0.008,0.409,0.044,0,0,0,0.994,0,0.132,0.0355,0,0,8.4,0,0,0,0,0,0.699,1.02,0,0,0,26.482,50.6,2.92,24.8,2.7,0,0,0,14.3,582.4,0.846,0,522.6,2.23,0.46,24.1,3.07,0,0,0,99.1,0,0,1126.9001,37.68,0,11.15,0.03,11.579,2.489,0,0,23.28,0,0,4.4,0,108.46,47.05,15.1,106.9,138.24,0.032,3.68,0.466
"Japan",723.6,1193.9,8.38,95.6,9.48,54.3,39.123,50.97,3.677,0.368,86.9,17.996,15.523,21.937,26.101,52.242,5.116,92.84,437.4,3.476,7.596,135.09,1.62,499.9169,67.376,3.394,180.21,280.43,5.583,678.4,31.28,295.9,247.6865,11.1134,501.2,93.5,265.72,103.42,0,20,239.9,88.8,31.58,18.6,90.3,9.53,7,163.02,403.88,11.858,40.1,139.12,457.1,141.52,304.3,516.76,69.44,6.763,0,0.1,0.497,0.2,3.607,1.691,5.979,5.239,22.9,0.574,28.07,2.7,2.058,2.965,0.82,18.756,0.088,8.801,316.1,3.218,1.491,1.841,2.891,3.9,12.791,54.706,37.387,2.782,6.31,0.678,6.082,92.7,42.414,58.1264,0.1,17.581,6.3,0,1.7,39.1,3.721,0.2,24.256,13.17,184.43,11.16,13.1,89.276,3316.1002,169.06,368.7,117.56,74.12,82,41.47,0.52,5486.3998,50.928,13.2,1622.5,108.05,33.99,1335.6,466.67,66.901,728.8,0.4,1008.8,116.3,1126.9001,0,143.12,0,190.58,64.03,48.905,32.912,0.2,12.1,311.18,0.3,2.4,40.1,0,16.34,975.16,113.4,1952.6,2219.0201,68.693,52.74,41.292
"India",763.37,190.84,10.52,0,0.069,0.05,0.594,2.6,0.347,0,4.41,0.063,0.051,0.052,0.15,0.113,0.578,0.16,0.17,2.338,0.689,0.64,0.47,0.963,0.28,0.073,0.78,41.6,0.997,200.8,20.16,19.46,84.2019,3.7781,49.93,25.42,2.41,0.85,0,6.36,12.51,2.54,5.88,7.29,26.01,0.27,9,33.12,4.36,0.791,7.83,0.58,117.1,1.43,54.34,1.62,5.73,0.694,0,0,0,0,0.874,0,3.24,6.229,0.6,0,6.81,0.2,0.1,1.111,3.841,2.488,0.236,1.35,36.62,0.01,0.086,0,0.014,9.93,5.851,5.441,13.379,0.127,0.1,0.542,3.474,0,8.469,1.8391,0,4.059,0,0.15,0.04,1.64,0.743,0.01,9.726,10.14,1.18,0.95,1.4,63.45,184.54,10.82,193.32,27.1,13.63,4.1,8.88,2.39,282.29,17.862,7.75,36.48,10.57,7.37,17.49,26.76,20.805,0.93,9,3.02,2.47,37.68,143.12,0,0,21.43,77.17,11.095,20.903,0.82,31.14,3.58,0.11,9.01,0.43,0,30.35,45.68,6.97,35.39,83.33,1.443,20.12,3.553
"Bhutan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pakistan",214,68.75,0.01,0,0.002,1.46,0.413,0.13,0.183,9,2.86,0.043,0.031,0,0.006,0.046,3.617,0.07,0.39,0.341,0.03,0.07,7.23,0.731,0,0.016,0.08,0.15,0.035,50.59,1.25,7.81,23.8212,1.0688,24.44,3.65,17.03,2.67,0,0.93,8.6,4.53,1.38,2.6,30.6,1.15,0.06,0.28,1.12,0.371,2.86,15.59,20.3,2.76,4.75,0.33,6.07,0.063,0,0,0.567,9,0,0.059,11.855,0.021,0.03,0.803,0.37,0,9.736,0.042,0.746,4.251,0.027,1.033,2.3,0,0.003,0,0.042,0.02,0.335,10.965,1.851,0.174,0.2,1.03,0.747,0,0.558,0.2182,0,2.275,0.13,9.9,0.04,0.14,8.85,2,1.333,0.08,3.96,3.29,4.09,32.486,18.59,2.7,1.35,0.35,0.68,1.26,0.6,0.04,129.43,1.363,1.42,54.79,5.41,2.43,32.51,1.26,16.741,40.18,0.07,0,1.5,11.15,190.58,21.43,0,0,16.27,9.225,21.449,0.47,2.86,7.38,0.02,0,0.17,0,53.79,8.02,4.8,32.87,118.09,0.061,4.21,0.378
"Bangladesh",276.45,82.37,0,9,0,1.67,0.316,0.08,0,9,0.36,0,0,9,9,9,0.01,0,0,0.01,0,9.02,0.24,2.167,0.05,0,0.52,2.44,3.064,23.19,0.86,14.84,2.2491,0.1009,3.4,5.67,1.28,1.27,0,2.03,1.26,0.14,1.93,4.95,11.28,0.05,0.19,0.61,0.66,0.01,3.28,3.44,44.52,0.2,14.75,5.27,9.14,0.001,0,0,0,0,0.12,0,0.29,0.2,0,0.59,0.05,0,9.12,0.06,9.601,2.28,0.14,2.21,2.8,0,2.54,9,0.035,9.23,0.289,1.707,3.407,0,0.2,0.06,9.12,10.7,19.02,1.1691,0,0.83,9,9,9,0.01,0.04,9,0.308,0.09,0.47,1.21,0.23,12.016,1.29,5.04,13.59,2.5,6.76,9.25,0,0,0.59,0,0,2.03,0,0,38.99,25.22,0.43,2.6,9,0.1,0.18,0.03,64.03,77.17,0,16.27,0,0.354,5.536,0,0,0.28,0,0,0,0,3.61,10.22,1.98,0.04,42.16,0.334,1.63,0.002
"Myanmar",26.165,1.369,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.012,0,9,0,0.16,9,9.607,0,1.642,3.1583,0.1417,0.228,0.202,0.13,0.001,0,0.002,0.048,0.067,0.073,6.292,0.182,0,0,1.068,0.04,0,0.001,0.234,3.756,0.349,2.91,2.218,4.026,0.069,0,0,0,0,1.582,9,0,9,0,0,4.23,0,9,0,0,0,9,0,0.4,0,0,0,9,9,0,0.079,0.046,0,0,0,0.143,0,9,0,0,0,0.094,0,0,0,0.034,9,9.519,4.9,0,0.79,0,0.002,0.708,0,2.9,0,9,0,0,1.4,0.1,0,9,1.4,0.01,9,0,0.01,0,4.156,9,0,1.876,11.579,48.905,11.095,0,9.225,0.354,0,17.111,0,0,0.978,9,9,0,0,33.66,1.082,0.031,33.529,4.95,0,0.005,0.068
"Sri Lanka",0.752,5.049,0,0,0,0,0.06,0,0.192,0,2.8,0.317,0.082,0,0.227,0.021,0.028,0.04,0,0,0,0.33,0.32,0.474,0,0.004,1.13,0.15,0.231,29.199,1.583,3.338,0.8135,0.0365,46.47,1.82,6.821,1.34,0,0.364,4.822,2.5,0.2,1.053,7.154,0.29,0,2.02,0.7,0.103,0,5.519,1.351,0.48,2.377,0.45,1.908,0.006,0,0,0,0,0,0,0,0,0,0,0.17,0,0.001,0,0.039,0.059,0,0.01,0.1,0,0,0,0.004,0,0.687,0.15,0.225,0,0,0.015,0.264,0,0.103,0.0764,0,0,12.778,0,0,0,0,0,0.154,0.22,0,7.24,23.5,1.714,16.385,0.08,18.736,5.091,3.82,0,1.05,0.06,79.2,4.715,0,4.911,0.779,0.04,0,0.81,0.3,28.563,0,0,0,2.489,32.912,20.903,0,21.449,5.536,17.111,0,0.686,0,50.275,0,0,0,0,0.975,3.713,0.112,0.981,42.337,0.517,4.636,0.744
"Maldives",0,0,0,0,0,0,0,0,9.004,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,10.3,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9.6,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.002,0,0,0,0,0,0,0,9.001,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0.2,0.82,0,0.47,0,0,0.686,0,0,0.71,0,0,0,0,0,0,0,0,0,0,3.72,0
