"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Solomon Islands","Fiji","Samoa"
"United States of America",0,662.199,830.78,0.3,104.747,148.67,15.859,1091.96,49.94,3.79,4.826,1631.5,24.204,86.783,15.714,40.751,41.441,133.318,105.63,1049.6001,8.251,36.118,233.9,177.36,465.908,36.484,15.032,388.8,93.57,71.947,921.7998,259.94,2847.6,902.645,39.6554,1603.5996,104.8,1111.6201,417.96,0,132.2,298.18,54.6,94.47,38.7,653.2002,26.97,0.9,192.5,217.6,34.67,28.1,145.93,1719.4,9.68,71.7,469.91,77.98,134.312,0,0,5.017,0.1,1.371,6.779,56.665,12.996,5.7,14.983,317.68,53.2,27.048,34.379,55.1,121.49,3.54,25.913,3916.9999,170.861,4.677,5.9,73.92,175.5,81.116,49.231,45.914,27.209,41.708,5.834,4.3,72.696,400.6,21.6,72.8809,0.6,2.694,1264.3,14,61.6,14.9,96.911,0.3,10.013,2,200.45,3111.47,71.51,4073.1999,48.48,3219.6001,96.78,154.5,985.95,61.5,126.7,109.23,380.2601,1552.5,32.918,20.5,551.1,104.88,243.02,1649.9,325.89,4.354,363.8,4.3,3359.8999,9,1043.5,11541.8,151.17,0,401.74,96.81,39.337,9.194,0,5.1,257.27,0.2,0.2,1.6,771.76,545.51,261.79,3067.1999,1607.2399,41.7,103.66,0.812,3.387,3.97
"Canada",662.199,0,3.52,134.1,11.157,5.22,18.279,46.16,16.764,1.254,2.452,52.4,3.278,16.524,0.402,3.304,10.652,4.896,7.44,863.4,17.385,5.965,60.87,7.05,215.253,10.014,3.444,13.3,23.88,3.925,551.4,7.93,141.2,183.6326,8.0674,71.1,158.6,20.2,2.13,0,14.3,149.67,26,4.96,42.4,58.1,0.51,9.1,7.33,0.99,10.394,0.9,5.05,458.3,6.8,145.1,97.56,20.17,0.218,0,0,0,0,0.046,0.898,4.511,0.239,3.7,0.679,17.34,22.6,0.745,0.926,4.6,15.044,1.688,1.051,29.4,54.117,0.046,0,2.183,4,1.213,7.203,9.356,0.016,0.595,0.658,0,1.156,1.4,3.2,9.8533,0,8.763,44.4,0,0,0,0.924,0,6.606,0,26.36,164.66,32.26,6.1,4.369,518.5,26.82,117,40.01,23.65,25.9,6.53,20.16,652.7,2.481,10.7,33.2,1.23,0.2,33.8,3.11,4.9,482.9,0,292.3,0.3,146.1,1020.6,187.58,0,67.05,80.97,3.267,1.06,0,0,51.52,9,9,20.2,0.18,33.56,0.59,53.4,34.47,3.1,9.95,0,4.233,0.089
"Bahamas",830.78,3.52,0,0.18,0.072,0,2.183,1.38,0.114,0,0,0.95,16.78,0.05,0.023,0.04,0.014,0.529,0.91,84.2,0.657,0.009,50.61,0.66,27.808,0,0.34,0.03,0.52,0.004,153.92,34.44,47.16,3.027,0.133,5.7,2.6,2.45,0.46,0,0,0,1.53,0.13,0,19.48,0.11,0,0,0.09,0.01,0,0,0.01,0.02,2.13,43.71,11.03,7.272,0,0,0,0,9,9,0,0,0,0,2.1,0,0,0,0,0,0,0,274.52,3.4,0,0,0,69.34,0,0,0,0,0,0.01,0,0,276.18,0,0.0018,0,0,0,0,0,0,0,0,0,9,0.05,67.4,46.97,360.51,0,373.07,0,0,0,0,0,0,0.04,905.61,9,0,0,0,9,0,9,0,0.01,0,0.07,0,0.7,16.93,0.06,0,2.01,0,0,0.001,0,0,0.05,0,0,0,0.05,0,1.58,142.84,2.38,9,0.51,0.02,0.015,2.89
"Cuba",0.3,134.1,0.18,0,0,0,2.664,12.9,1.923,0,0.265,22.8,0,0,0.001,0,6.357,0.014,3.28,11.3,0.264,0.668,0,20.6,0,0,9,0,118.26,0,37.7,5.73,12,31.4197,1.3803,13.9,27,4.44,15.01,0,0,1.44,2.6,9.93,0,6.8,0.04,0,18.59,9.1,9.115,0,2.98,0,18.03,15.6,0.84,24.26,5.01,0,0,0,0,9,0,0,9,0,0,0,0,9,0,0,0.003,0,0.022,0,0.072,9,0,0,9,0,0,0,0.04,9,9,0,0,0,0,0,0,0,0,0,0,0,9,9,9,0,23.55,0,0.62,9.5,2.596,9,0.2,19.8,25.72,26.22,0,0,0,3.6,11.347,0,9,9.02,0,0,0,0,34.5,0,0,0,0,106.5,0.1,0,0,9,9,0.015,0,0,0,0,0,0,0.5,2.55,0,22.8,1.98,0,0,0,0.013,0
"Haiti",104.747,11.157,0.072,0,0,2.499,2.438,0.057,0.028,0,9.002,0.688,0.131,0.679,0.152,0.598,0.142,0.809,0.24,10.983,0.301,0.113,1.053,0,2.161,0,0,0.068,1.659,0,4.962,0.001,2.294,4.6938,0.2062,19.316,1.084,1.411,0.086,0,0,0.535,0.068,0.399,0.761,11.587,0,0,0.04,0.073,0,9.14,0.507,0,0.123,1.526,0.422,0.1,0.023,0,0,0,0,0,0,0,9,0,9.001,0,0,0,0.002,0,0,0,0,0.006,0,9,0,0,0,0,9,0.005,0,9,0,9,9.002,0,9.235,0.088,9,0,0,0,0,0,0.008,9,0,0,0.18,0,0,0,0,0,0.005,9,0,0,0.171,0,0.001,9,9.769,0,9,0,0,0,0,0,4.444,0,0,0,0.823,19.066,0.116,0,0.088,0,0,0,0,0,0,0,0,9,9,0.448,0.006,0,0.079,0,0.059,0,0,0
"Dominican Republic",148.67,5.22,0,0,2.499,0,1.695,2.3,0.192,0,0.59,14.63,2.992,5.366,0.527,0.2,2.205,5.902,4.73,121.72,0.098,1.192,0.01,0.54,9.168,0,0,5.88,3.17,0.416,11.26,0.43,9.75,15.5661,0.6839,0.3,3,10.48,0.17,0,0.03,0.12,0.32,0.11,0.38,11.66,0,9,0.06,0.02,0,0,0.42,0.03,0.51,6.17,6.64,0.34,0.07,0,9,0,0,0,0,10.56,9,0,0,9,0,0,0,9,0,9,0.037,0,0,0,0,0,9,0,0,9,0,0,0,9,9,9,9,0,0,9,1.86,0,0,0,0,0,0,0,5.62,2.22,0,0,9,0,0,0,5.91,9,0,0,0.51,0,0,9,9,0,9,0,0,0,0.04,9,12.3,0.26,2.19,64.29,0.55,0,0.01,0.62,0,0,0,0,0.03,0,9,9,0.09,0.11,1.44,0,0.15,0,2.27,0,0,0
"Jamaica",15.859,18.279,2.183,2.664,2.438,1.695,0,2.765,3.885,0.011,0.762,4.885,0.646,2.747,0.349,1.147,0.737,1.33,1.094,129.742,15.877,1.501,0.494,0.78,5.982,0,0.854,0,5.48,0.717,72.352,2.626,10.343,4.9428,0.2172,9.683,3.999,5.843,0.196,0,0.04,3.489,0.253,0.302,0.113,5.621,0.099,0,2.074,0.045,0.005,9,0.197,12.067,0.53,0.989,47.324,1.732,0.003,0,0,9,0,0,0,0,0,0.001,9,0.147,9.156,0,0.048,0.001,27.247,0,0.317,0.028,0,0,0,0.004,0.031,0,0.005,0.037,0,9,0.01,0,0.008,0.003,0,0.0045,0,0,0,0,0,0,0,0,0.021,0.008,0.031,0.007,0.02,0,0.001,0.008,0.027,0,0.02,0.003,0.026,0.001,0.155,0.003,0.031,0,0,0.03,0,0,0.011,0.043,1.207,0,6.401,0,1.32,19.516,0.306,0,0.115,0.088,0,0.125,0,9.006,0.008,0.022,0,0,0.458,0.505,0.066,0.869,5.206,0.01,3.314,0,0.052,0
"Trinidad and Tobago",1091.96,46.16,1.38,12.9,0.057,2.3,2.765,0,14.528,1.722,5.225,2.74,9.519,18.708,0.67,0.986,0.26,1.81,4.93,16.88,57.247,59.099,0.13,2.19,8,0.04,0.12,0.01,4.22,1.117,188.56,2.44,18,4.0041,0.1759,34.57,2.1,2.22,1.37,0,0.28,0.35,0.45,0.28,10.03,1.23,0.13,0,0.05,0,0.02,0,1.14,9.14,0.4,11.84,3.37,5.54,0,0,0,0,0,3.558,9.108,0,0,0,0,0,0,0,1.778,0,0.64,0.421,7.981,0.63,0,0,0,0,0,0,0.11,0.08,9,0.01,0,0,0,0,0.94,0.0082,0,0,0,0,0,0,0,0,0.386,0,5.41,0,0,28.4,0,13.68,0.16,0.75,0.01,0,9,0,0.07,429.87,9,0,0,0,0,0,88.48,0,4.46,0,11.35,9.07,0.63,104.07,2.95,0,0.06,0,0,0.05,0,0,0.03,0,0,0,0.67,1.27,0.33,275.82,16.02,0,12.73,0,0.002,0
"Barbados",49.94,16.764,0.114,1.923,0.028,0.192,3.885,14.528,0,0.364,1.413,0.491,0.213,3.096,0.111,0.113,0.124,0.036,0.401,10.409,4.201,0.57,0.003,0.032,3.724,0.006,0,0.566,2.278,0.37,46.592,4.962,5.371,2.596,0.114,3.617,1.369,0.935,0.359,0,0.051,0.176,0.085,0.098,9.329,2.088,0.05,0,0.059,0.036,0.062,0,0.079,0.049,0.054,0.435,2.988,1.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.001,9,0,0,0,0,0,0.242,0.002,9,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0.014,0,0,0,0.011,0,0,0,0,0.011,0.011,0.003,0.007,0,9.08,9,0.094,1.5,0,0.005,0,0.008,0,0,0,0.001,0.413,0,2.062,9,0.273,10.635,0.257,0,0.007,0,0.009,0.348,9.002,0,0.021,0,0,0,3.12,0,0.052,0.04,5.185,0,4.717,0,0,9
"Dominica",3.79,1.254,0,0,0,0,0.011,1.722,0.364,0,0.251,0,0,0,0,0,0,0,0.17,0.3,0.159,0.024,0,0,0,9,0,0,0,0,3.032,0,0.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183,0,0.236,0,0,0
"Grenada",4.826,2.452,0,0.265,9.002,0.59,0.762,5.225,1.413,0.251,0,0.056,9,0.488,0,9.004,0.043,0,0.258,0.008,0.933,0.322,9,0,0.109,0,9,9,0.162,9,2.224,0.113,1.081,1.1878,0.0522,0.046,0.024,0.217,0,0,0.026,0.332,0,9.042,0.077,0.147,0,0,0,0.003,0,9,0,0.053,0.048,0.082,0.039,0.454,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,9,9,0,0,0,0,0,9,9,0,0,9,0,0,0,0,9,0,0.001,0,9,0,0,9,9,9,9,9,0,0,9,9.039,0,9,9,9,0,0,0,0,9,9,0.061,0,0.178,9,0.066,1.439,0.065,0,9,9,0,0,0,0,0.011,0,0,0,9.104,0,9.03,9,0.179,0,0.426,0,0,0
"Mexico",1631.5,52.4,0.95,22.8,0.688,14.63,4.885,2.74,0.491,0,0.056,0,46.542,17.22,25.472,9.581,38.882,10.915,38.5,117.6,0.435,1.233,10.69,6.01,112.507,0.774,0.844,23.2,56.3,1.058,110.9,5.03,26,37.0714,1.6286,189.2,79.6,28.09,3.38,0,3.3,0,4.8,3,3.6,185.1,0.01,0,26.2,0.84,0.007,0,2.83,1,6.24,60.9,3.7,13.1,0.103,0,0,9,0,0,9,0,0,0,0,3.5,0,9,9.1,0,0.017,0,0.592,0,0,0,0,0.2,0,0,0.1,0,0,9,0,0,0,0,0,0.0409,0,9,5.8,0,0,0,9,9,0.083,0,19.3,5.2,0.75,0.2,0,4.1,0.48,11,1.36,9,0.1,0,0.32,0.8,9.009,0,0.1,0.02,0,0,9,0,73.6,0,0,9,16.5,250.9,13.81,0,3.89,1.13,0,5.631,0,9,2.87,9,0,9,0.78,21.78,2.01,2,14.5,0.686,3.5,0,0.093,9
"Guatemala",24.204,3.278,16.78,0,0.131,2.992,0.646,9.519,0.213,0,9,46.542,0,19.012,36.593,21.366,31.456,9.81,5.64,89.534,0.002,0.127,1.391,0.757,11.804,0.359,0,0.29,5.748,0.054,20.976,1.039,14.126,4.6459,0.2041,10.452,9.523,3.385,1.626,0,0,0,7.802,0,1.778,38.192,0.01,9,2.029,0.002,0,0.234,0,0,28.942,6.746,6.713,7.837,0.009,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,9,0,0.003,9,0,0,9,0,9,0,0,9,0,0,0,0.118,0,9,0.0545,0,0,1.705,9,0,0,0.011,0,0,0,0.089,0,0,0,0,0.005,0.002,9,0.007,0,9,0,0.265,6.4,0,9,0,2.63,9.02,0,9,9,45.2,9,31.18,0,1.188,49.302,0.142,0,0.077,0,9,0.201,0,0,3.941,0,0,0,0,0.212,0.686,0.357,3.77,9,0.254,0,0,0
"Honduras",86.783,16.524,0.05,0,0.679,5.366,2.747,18.708,3.096,0,0.488,17.22,19.012,0,0,8.053,12.72,5.897,2.147,35.654,0,1.229,0.6,0.9,14.731,0,0,0.023,3.68,0.018,14.402,0.5,1.528,0.8334,0.0366,8.429,9.778,1.767,0.012,0,0.396,0.31,9.604,1.46,1.603,8.244,0,0,0.059,1.91,0,0,0.162,0.283,1.977,9.588,2.826,1.221,0.29,0,0,0,0,0,9,0,0,0,0,9,0,0,0,9,0,0,0,0,0,9,0,0.002,0,9,0,9,9,0,0,0,9,0,0,0,9,0,0.522,0,0,0,0,0,0,0,0.67,0,0.32,0.1,0,0,0.06,9,0,0.562,0,0,0.053,0.5,9,0,0,0,9,0,9,0,1.151,9,0,0,2.055,46.53,0.013,0,0.04,0,0,0.035,0,0,0,0,0,9,0.056,0,0.04,0,0.308,9,0,0,9,0
"El Salvador",15.714,0.402,0.023,0.001,0.152,0.527,0.349,0.67,0.111,0,0,25.472,36.593,0,0,10.302,13.463,15.542,3.219,77.108,0,0.235,0.128,3.605,6.067,0.001,0.033,0.274,3.775,0.147,18.281,0.982,8.468,5.4601,0.2399,0.228,1.94,42.004,0.018,0,0,0.017,8.765,0.192,0.757,0.829,0.004,0,22.234,0.008,0.015,0.004,2.685,0.071,2.079,1.778,0.166,1.886,0.008,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,9,0,0,0,0.025,0.007,0,0,0,0.245,0,0,0,0,0,0,0,0.066,0,0.02,0,0,0.003,0,0,0,0,0.001,0,0.156,0.094,9.071,0,0,0,0,0,9,0,0,0,22.796,0,6.504,57.257,1.16,0,0.034,9,0,0.204,0.018,0,0.454,0.003,0,0,0.046,0.528,0.176,0.377,3.288,0,2.76,0,0,0
"Nicaragua",40.751,3.304,0.04,0,0.598,0.2,1.147,0.986,0.113,0,9.004,9.581,21.366,8.053,10.302,0,13.15,5.573,5.316,66.845,0,0,0.003,0.336,3.47,0,0,0.302,1.353,0.02,7.791,0.197,1.942,9.4355,0.4145,9.845,2.765,13.436,0.195,0,0,0.153,11.848,1.086,0.701,16.558,0,9,0.771,0.044,0,0,2.25,0.079,1.564,0.281,0.256,7.998,0.044,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,9.003,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,1.767,0,0,0,0,0,0,0,1.23,0,0,0,0,0.027,0,0,0,0,0.023,0,0.29,0.328,9,0,0,0,0,0,0,0,66.33,0,30.644,0,1.218,21.02,0.645,0,0.001,9,0,0.121,0,0,4.639,0,0,0,0.028,0.156,1.454,0.778,1.579,0,0.049,0,0,0
"Costa Rica",41.441,10.652,0.014,6.357,0.142,2.205,0.737,0.26,0.124,0,0.043,38.882,31.456,12.72,13.463,13.15,0,8.261,4.229,8.682,0.195,0.418,0.905,2.043,17.997,0.124,0.001,0.951,4.375,0.046,23.777,2.032,14.827,1.207,0.053,0.723,23.285,25.861,0.277,0,3.685,4.973,10.768,1.056,0.522,16.22,0.03,0.005,2.544,1.992,0.115,0.012,2.516,1.181,39.296,14.896,9.964,5.689,0.314,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0.001,9.002,0,0,9,0,0,0,0.0055,0,9,0.003,9,0,0,0.002,0,0,0,0.72,0,0,0,0.042,0.013,0.005,0.007,0.118,0.263,0.256,0.059,2.672,0.8,9,9,0,0,0.118,9,9,9,0.237,9,4.228,0.109,2.917,145.552,0.073,0,0.017,9,0.025,0.029,0,0,0.032,9,9,9,0.004,0.023,0.212,0.024,0.047,0,2.432,0,9,9
"Panama",133.318,4.896,0.529,0.014,0.809,5.902,1.33,1.81,0.036,0,0,10.915,9.81,5.897,15.542,5.573,8.261,0,32.909,57.808,0.554,3.318,138.153,2.059,31.267,0.113,0.005,8.294,7.171,0.764,13.525,0.463,0.724,4.6459,0.2041,2.273,146.18,19.779,1.502,0,0.239,1.194,9.713,0.35,2.187,14.781,0,9,12.936,0.217,0,0,0.2,0.022,3.401,1.787,3.778,0.806,0.457,0,0,9,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.354,0,0,0,0.002,0,0,0,9,0,9,9.003,0,0,9,0,0,0,0,0.171,0,0,0,9,0,0,0,0.27,0,0,2.6,0,0.878,0.036,6.443,0,0,9,0,6.145,10.723,0.02,0,0.411,0,9,0,9,0,1.619,0,14.031,0,18.278,43.519,0.47,0,1.613,0,0,0.053,0,0,0.764,9,9,0,0.214,1.517,1.011,0.179,1.332,0,2.427,0,0,9
"Colombia",105.63,7.44,0.91,3.28,0.24,4.73,1.094,4.93,0.401,0.17,0.258,38.5,5.64,2.147,3.219,5.316,4.229,32.909,0,61.26,0.2,1.202,33,13.76,92.559,2.629,0.605,22.19,33.12,3.68,46.11,0.74,144.99,29.6954,1.3046,33.39,31.34,0.17,0.17,0,19.79,29.02,24.68,1.91,5.11,82.26,0.06,0,5.55,1.34,0,0.45,4.59,1.83,76.13,95.86,31.56,26.16,0.152,0,0,9,0,0,0.01,0,0.01,9,0,0,0,0,0.03,0.02,0.06,0,0.031,0.43,0,0,0,0.001,0,0,0.01,0,0,9.01,0.01,0,0.02,0,0,0.0073,0,9,3.87,9,9,0,0,9,0.001,9,2.82,40.58,0.8,2.3,0.04,0.26,0.04,0,0.02,3.46,0.69,0,0.81,0.1,9.848,0,0.05,0,0,0.01,0,9,0.15,9,9.79,0.31,0.65,186.17,0.04,0,0.05,0.2,0,0.224,9,0,0.17,0,9,0,1.07,6.43,0.18,0,0.3,0.04,1.17,0,9,0
"Venezuela",1049.6001,863.4,84.2,11.3,10.983,121.72,129.742,16.88,10.409,0.3,0.008,117.6,89.534,35.654,77.108,66.845,8.682,57.808,61.26,0,8.94,4.481,9.75,7.02,106.075,1.945,1.482,75.5,160.36,14.008,291,8.94,177,78.9324,3.4677,324.8,124.6,199.23,7.96,0,1.6,9.3,17.6,1,14.1,355.8,0.07,9,85.52,0.92,0,0.8,3.9,1.3,111.14,40.4,20.49,39.39,0.086,0,0,0,0,0,1.004,2.154,0.26,9,0.027,51.75,0,9.678,4.803,0,0.008,0.165,0.142,0.7,0,0.006,9,0.5,0,0,0,0,0,0,0.005,0,0,0,42.3,0,0,0,0,0,0,0,0,0,0,0,26.47,2.6,0.2,0,0,0.5,21.16,9,0,0,0,0,4.51,0,9,9,0,0,0,0,0,0,33.3,0,36.7,0,11.9,1067.9,14.79,0,0.5,0,7.269,0.009,0,0,1.8,9,0,0,2.52,4.35,2.1,4.8,46.07,0,7.89,0,0,9
"Guyana",8.251,17.385,0.657,0.264,0.301,0.098,15.877,57.247,4.201,0.159,0.933,0.435,0.002,0,0,0,0.195,0.554,0.2,8.94,0,0.41,0,0.256,0.152,0,0,0.227,2.367,0.017,32.413,0.024,0.319,1.6093,0.0707,5.131,0.907,4.859,2.673,0,3.61,0.006,0.139,0.068,0.018,4.33,0.01,0,0.007,0.071,0,0.002,0,2.475,0.139,0.37,12.656,0.819,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,9,0,0.016,0,0,0,0,0,0,0.028,0,9,0,0,0,0,0,0,0.016,0,0.079,0,0,0,0,0,0,0.002,9,0.008,0.002,0.16,0,0.002,0.14,0,9.039,0.127,0,0,0.006,0.134,0.394,0.01,0,0.012,0,0,0,0.001,9,4.128,0,0.027,0.122,0.146,12.612,1.337,0,0.018,1.329,0,0.035,0,0,0.436,0,0,0,0.31,0.252,0.007,0.072,0.267,0,0.823,0,0,0
"Suriname",36.118,5.965,0.009,0.668,0.113,1.192,1.501,59.099,0.57,0.024,0.322,1.233,0.127,1.229,0.235,0,0.418,3.318,1.202,4.481,0.41,0,0,0.075,2.106,9,0,0.011,0.046,0.002,13.152,0.143,16.439,0.0766,0.0034,8.873,1.096,3.406,0.296,0,0.082,0.094,0.315,0.344,0.303,5.347,0,0,0.006,0.001,0,0.003,0.455,2.056,0.023,2.135,59.512,2.179,4.759,0,0,0.008,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,9,0,0,0,0.07,0,0.38,0,0.001,0.004,0.011,0,0,0,0,0,0,0.499,0,0,0,0,0,0,0,0,11.644,9,0,0,0.913,4.614,0.42,0,0.01,0,0.004,0,0,0,0.006,0,0,0,0.426,0,0.109,0.118,0.123,0,0.08,0,0,0
"Ecuador",233.9,60.87,50.61,0,1.053,0.01,0.494,0.13,0.003,0,9,10.69,1.391,0.6,0.128,0.003,0.905,138.153,33,9.75,0,0,0,13.78,8.913,0.246,0.202,76.6,9.22,0.627,38.72,9.57,0.49,0.3448,0.0152,14.46,21.79,17.7,1.16,0,6.84,5.85,10.74,25.04,1.49,1.02,0.59,9,35.73,5.47,0,0.45,2.87,3.32,6.78,10.71,4.05,3.47,0.085,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0.033,9,9,0,9,0,9,9,0,0,0,0,0,0,9,8.73,0,0,0,9,0,0,0,2.05,0,3.77,0,0,0,0,9,0,0,0,0,0.69,2,0,0,0,0.05,10.73,8.4,0.12,0,2.77,0,4.45,9,6.5,217.02,0.37,0,0.02,9,0,0.397,0,9,0.01,0,9,0,1.49,0.53,0.01,0.81,5.85,0,7.45,0,0,9
"Peru",177.36,7.05,0.66,20.6,0,0.54,0.78,2.19,0.032,0,0,6.01,0.757,0.9,3.605,0.336,2.043,2.059,13.76,7.02,0.256,0.075,13.78,0,21.66,12.703,0.194,25.82,23.64,2.033,17.73,4.83,0.49,30.4713,1.3387,1.17,1.19,2.77,0.48,0,10.77,33.6,3.47,7.19,14.98,44.54,0.01,0,38.01,0.02,0,6.22,16.96,10.72,2.69,12.82,3.08,1.83,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82,0,0,0,0.013,0,0,0,0,0,9,9,0,0,0,0,0,0,0,6.42,0,9,0,0,0,0,0,0.19,2.38,0,0,0,1.91,0.07,0,0,0,0,0.08,3.35,0,0,0,0,0.05,0,0,0,0,30.26,0,9.21,1.02,17.54,198.6,2.6,0,0.01,0.03,0.012,0.817,0,0,0.08,9,0,9,0.22,6.6,3.2,0,6.27,0.04,12.5,0,0.512,0
"Brazil",465.908,215.253,27.808,0,2.161,9.168,5.982,8,3.724,0,0.109,112.507,11.804,14.731,6.067,3.47,17.997,31.267,92.559,106.075,0.152,2.106,8.913,21.66,0,13.816,17.524,64.47,313.192,63.557,115.074,7.568,229.466,77.5338,3.4062,238.839,216.219,209.175,33.423,0,28.597,163.99,87.112,147.581,34.85,190.289,2.899,9.67,21.587,52.459,6.849,23.015,25.018,156.819,1.738,54.901,47.07,153.533,3.353,0,9,0.07,9,2.847,0.022,14.461,2.48,0.459,0.31,7.603,0,10.84,1.944,1.11,2.844,7.3,2.838,102.398,101.889,0.148,9.08,46.404,10.834,1.311,2.341,12.782,0.201,0.06,6.069,0.09,1.468,22.59,5.02,0.3682,0,0.09,90.164,0,9,9,0.451,0,0.134,0.078,0.89,143.488,1.147,93.683,8.312,561.321,44.64,1418.722,31.876,30.406,18.318,5.48,1.222,1639.502,0.176,0,562.272,1.204,10.39,89.832,1.79,0,69.175,9,14.815,1.09,24.835,679.4,75.094,0,49.582,1.99,0.025,2.906,0,0,25.488,9,0,0,33.671,15.987,69.497,39.3,59.185,1.33,6.67,9,0.164,9
"Bolivia",36.484,10.014,0,0,0,0,0,0.04,0.006,9,0,0.774,0.359,0,0.001,0,0.124,0.113,2.629,1.945,0,9,0.246,12.703,13.816,0,0.223,4.176,15.394,0.514,28.557,1.78,4.291,4.301,0.189,13.771,9.071,4.91,29.32,0,0,0,2.1,0,0,4.983,0,0,1.17,0.04,0,9,0,0,0.5,18.209,0.29,7.72,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,9,0,0,0,9,0,9,0,0,0,0,0,9,0,0,0,0,0,9,0,0,9,0,0,9,9,0,9,0,0,0,0.09,0,0,0,0,0,0.01,0,0,0,0,0,1.33,1,9,0,0,0,9,0,9,9,0,0,0,0,1.9,89.871,0.27,0,0.01,0.01,0,0.791,0,0,1.51,0,9,0,1.01,0,0,0,0.17,9,0,0,0,0
"Paraguay",15.032,3.444,0.34,9,0,0,0.854,0.12,0,0,9,0.844,0,0,0.033,0,0.001,0.005,0.605,1.482,0,0,0.202,0.194,17.524,0.223,0,20.643,10.924,1.463,19.45,1.305,10.725,0.2682,0.0118,13.435,4.912,23.733,10.789,0,9,9,0.492,9,9,59.465,0.01,0,4.96,1.326,0,0,9,9,0.178,3.845,0.013,5.294,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,0,0.004,0,0,0,0,0.058,0,0,9,0,9,0,0,0,0,0,0,9,9,0,0.381,0,0,0,1.834,0,0,0,0.25,37.283,0.01,0,0,9,0,9,0,9,9,0,0,0.2,0,0,0,0,9,0,0,0,0,0,4.221,9,0.389,7.588,0.01,0,0,0.1,9,0,0,0,0.16,0,9,0,0.17,0.25,0,0.9,0.26,0,0,0,0,0
