"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Grenada","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Fiji","Samoa"
"United States of America",0,1172.699,493.46,0,42.988,116.5,10.505,1197.91,23.833,1.843,119.1999,11.386,48.829,92.914,31.368,10.41,117.706,20.4,595,30.603,1.578,221.64,149.81,1533.801,32.82,1.549,153,207.19,16.693,1031.3999,135.48,2475.2,941.1261,42.7732,2035.8999,60.3,1477.6499,233.29,0,49.9,575.89,92.7,56.46,108.5,674.5,40.21,2,43.25,254.8,20.915,15,86.41,2088.8,178.42,324.3,18.59,47.01,76.225,0,2,0.255,0,3.135,3.555,27.459,11.633,19,7.968,165.96,46.6,8.474,3.138,37.379,26.782,8.259,21.955,4745.7999,208.792,0.011,3,75.84,76.5,106.703,9.609,12.362,20.192,51.974,9,62.144,290.5,32,97.1291,48,4.988,373.6,14,51,9,51.265,1.4,7.736,0.6,205.96,1711.86,35.86,2494.3,66.069,746.8001,203.19,94.9,513.17,126.97,44,89.66,451.14,4240,15.421,3,446.1,112.31,341.33,1325.9,206.99,6.763,87.5,2,1666,9,683.3,5060.699,522.41,0,306.17,78.02,8.314,5.211,0,1,173.57,1,1,0,506.59,470.14,118.46,2300.2,1156.3,67,77.34,5.267,2.338
"Canada",1172.699,0,3.16,195,9.572,9.3,37.078,27.69,14.574,2.284,21.8,3.573,5.785,0.573,11.272,11.028,4.016,4.46,1249.2,8.673,9.011,18.1,14.84,199.491,0.7,2.656,20.2,25.11,3.855,815.0001,23.67,74.8,216.8446,9.8554,121.1,80.3,38.91,0.7,0,41.2,46.09,16.9,1.62,27.7,155.9,1.97,9,3.01,0.78,3.061,3.6,7.35,496.1,13.38,175.9,54.7,38.16,0.404,0,0,0.019,0,0.097,0.152,1.8,0.937,0.7,0.494,0.67,8.4,0.234,0.641,1.215,16.728,5.813,0.899,128.6,66.6,0.077,0,0.111,6.7,1.696,1.313,0.863,0.524,0.191,0.245,2.791,0.3,4.9,6.6536,0,9.454,90,0,0,0,1.617,0,0.721,0,0.5,26.76,21.54,115.4,4.34,681.6,48.44,77.2,4.24,4.85,2.1,2.63,0.25,527,0.002,221.7,4.9,1.83,0.32,62.6,93.32,0.419,101.1,0,283.5,7,222.1,1022,81.11,0,41.19,42.87,1.145,0.737,0,0,34.77,9,9,0.2,11.28,43.6,14.12,34.2,36.44,6.209,7.72,0.82,0.114
"Bahamas",493.46,3.16,0,0,0.021,0.61,0.837,2.73,0.049,0.04,1.77,6.65,0.005,0.01,0.04,0.005,1.251,8.2,66.2,0.02,0.82,0.04,2.14,42.529,0,0,0.01,3.89,0.241,17.46,0.5,17.85,25.6732,1.1668,1.49,4.54,5.35,1.01,0,0,0.09,0.15,0.14,0,0.95,0.13,0,0,0.06,0.002,0,0,0,0.06,17.31,18.61,21,2.338,0,0,0,0,9,9,0,0,0,0,8.2,0,0,12.896,0.009,0.001,0,0,389.63,15.75,0,0,0,0,0,0,0.01,0,0,0,0,95.7,0,0.0055,0,0,0.11,0,0,0,0,0,0.001,9,0,12.64,0,435.87,0,69.45,0,0,0,0,0,0,0.04,1536.94,9,0,0.1,0.02,9,63.7,9,0,0.06,0,0.02,0.18,0.4,8.71,0.04,0,0,0,0,0,0,0,0,0,0,0,0.02,24.06,1.11,7.62,0.32,9,0.59,0.055,0
"Cuba",0,195,0,0,0,9,0.606,0.01,0.014,0,21.2,0,0.003,0,0,2.282,0.378,18.93,0,0,0.281,0.02,16.31,0,0,9,0,168.64,0,30.9,3.07,29.8,13.8696,0.6304,60.5,4.7,119.01,32.15,0,0,3.92,15.6,13.52,0,39,1.11,0,57.9,9.09,9.068,0,0.83,0,11.13,7.3,1.17,29.21,0.002,0,0,0.01,0,9,5.315,0,9,0,0,0,0,9,0,9.009,0.006,0,0.012,0,0,9.003,0,0.01,9,0,0,0,0,9,9.695,0,0,0,0,0,0,0,0,0,0,9,9,9,0,60.48,8.9,0.03,9,0.02,13.9,0.11,24,3.58,41.05,0,0,0,3.2,9.011,0,9,0.03,0,0.3,0,0,0,0,0,0,0,149.7,0,0,0,9,9,0,0,0,0,0,0,0,0.2,1.5,0,0,0.56,0,15.72,0.02,0
"Haiti",42.988,9.572,0.021,0,0,0.299,1.552,0.166,0.395,9.004,0.77,0.364,0.086,0.073,0.273,0.09,0.16,1.092,0.038,0,0.249,0.006,0,2.01,0,0,0.023,0.028,0.071,2.949,0.004,3.751,3.6157,0.1643,10.157,2.393,0.568,0.048,0,0,0.15,0.204,0.191,0.788,8.602,0,0,0,0.047,0,9.113,0.37,0,0.108,1.857,0.204,0.303,0.043,0,0,0,0,0,0,0,9,0,9,0,0,0,0.001,0,0.001,0,0,0,0,9,0,0,0.002,0,9,0,0,9,0,9,0,9.326,0,9,0,0,0,0,0,0.044,9,0,0,0.02,0,0,0,0,0,0.039,9,0,0,0,0,0.026,9,9,0,9,0,0,0,0,0,1.068,0,0,0,0.001,10.709,0.053,0,0.059,0,0,0,0,0,0,0,0,9,9,0.433,0,0,0.051,0,0.062,0,0
"Dominican Republic",116.5,9.3,0.61,9,0.299,0,1.471,4.55,0.06,0,5.6,2.737,9.696,0.318,2,0.741,0.249,11.28,117.9,0,0.875,0.38,0.15,20.58,0,0,0.02,3.29,0.626,9.5,0.21,4.2,22.4784,1.0216,2,4.6,16.22,0.83,0,9,0,0.3,0,9,4.8,0,0,0.2,0.01,0,9,0,9,6.5,11.6,3.68,0.57,0.199,0,9,0,0,0,0,9,9,0,0,9,0,0,0,9.029,0,9,0.036,9,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,9,9,9,0,9,0,9,0,0,0,8.37,0.97,14.66,0,9,9,0,9,0,9,9,0,0.03,0,0,9,9,0,9,0,0,0,9,0,9,9,1.1,53.1,1.05,0,0,0.02,0,0,0,0,0,9,0,9,0,0.6,1.48,0,0.88,0,1.31,0,0
"Jamaica",10.505,37.078,0.837,0.606,1.552,1.471,0,17.993,2.814,0.451,2.53,1.553,5.226,0.341,0.355,0.252,0.505,0.042,113.623,9.047,0.788,0.143,0.126,6.399,0,0.051,0.015,2.033,0.389,13.879,1.438,4.917,5.4713,0.2487,6.447,0.197,5.037,0.223,0,0.093,3.301,0.813,0.003,0.04,11.325,0.075,0,0.031,0.046,0.011,9,0.129,0.058,0.052,11.172,45.008,1.83,0.004,0,0,9.002,0,0.001,0,0,0,0,9,0,9,0,0.001,0.036,1.909,0,0.157,0.095,0,0,0,0.023,0.038,0.005,0.26,0.005,0,9,0.004,0.001,0,0.001,0.0869,0.001,0.012,0.003,0,0,0,0.001,0,0.008,0.001,0.009,0,0,0,0.006,43.182,0.013,0,0.006,0.011,0,0.001,0.096,0.1,0,0,0,0.03,0,0,0,0.002,2.616,0.003,3.737,0,1.039,24.341,0.908,0,0.255,0.029,0,0.135,0,9,0.017,0.001,0,0,0.623,0.33,1.182,0.59,4.838,0,18.575,0.092,0
"Trinidad and Tobago",1197.91,27.69,2.73,0.01,0.166,4.55,17.993,0,17.84,5.356,1.67,4.03,28.052,0.19,1.246,3.44,22.624,2.17,22.07,51.117,41.095,18.29,2.82,4.827,0.03,0.15,0.06,1.58,0.079,63.18,1.72,5.24,6.1887,0.2813,2.06,0.87,2.39,0.02,0,0.23,0.35,0.52,0.21,9.77,1.33,0.01,0,0.07,0.34,0,0,0.14,9.18,0.43,5.45,5.09,4.79,0,0,0,0,0,0.686,9.343,0,0.036,0,0,0,0,0,0.71,0.003,0.393,0.091,2.054,3.4,0,0,0,0.01,0,0,0.156,0.02,9.002,0,0,0,0,1.86,0.0255,0,0,0,0,0,0.32,0.02,0,0.003,0,0.07,0,0,0,0,208.01,0.01,3.17,0.02,0,9,0,0.06,520.6,9,0,0,0,0,16.5,121.67,0,3.63,0,5.46,9.17,0.72,51.29,2.6,0,0.1,0.06,0,0.03,0,0,0.03,0,0,0,0.84,1.09,0.51,323.3,6.76,0,13.25,0,0
"Barbados",23.833,14.574,0.049,0.014,0.395,0.06,2.814,17.84,0,0.949,0.145,0.138,2.084,0.049,0.373,0.004,0.335,0.683,13.655,2.375,0.175,0.001,0.004,2.689,0.004,0.192,0.94,1.781,0.399,41.111,10.724,3.249,0.6696,0.0304,1.786,0.821,0.753,0.045,0,0.046,0.101,0.095,0.046,9.417,1.836,0.001,0,0.01,0.033,0.001,0,0.015,0.039,0.135,0.475,1.997,1.137,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.001,0,0,0,9,0,0,0,0,0,0.205,0,9,0,0,0,0,0.022,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0.001,0,0,0.007,0.004,0.003,0.052,0,9.07,9,0.089,0.172,0,0,0.002,0.002,0,0,0,0.015,0.714,0,0.416,9.007,0.142,7.153,0.271,0,0.251,0,0,0.177,9.032,0,0.027,0,0,0,0.368,0,0.032,0.009,1.726,0.001,6.637,0,9
"Grenada",1.843,2.284,0.04,0,9.004,0,0.451,5.356,0.949,0,0,9,0.333,0,9,0,0,0.04,0.028,0.4,0.244,9,0,0.001,0,9,9,0.05,9.045,0.736,0.07,1.665,0.287,0.013,0.036,0,0.258,0,0,0,0.174,0,9,0,0.164,0,0,0,0.003,0,9,0,0,0.01,0.1,0.018,0.203,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,9,9,0,0,0,0,9,9,0,0,9,0.011,0,0,0,9,0,0,0,9,0,0,9.032,9,9,9,9,0,0,9,9.01,0,9,9,9,0,0,0,0,9,9,0.044,0,0,9,0,0.543,0,0,9,9,0,0,0,0,0,0,0,0,9,0,9,9,0.07,0,0.211,0,0
"Mexico",119.1999,21.8,1.77,21.2,0.77,5.6,2.53,1.67,0.145,0,0,21.792,7.213,8.768,7.093,13.111,2,22.65,40.2,0.072,0.55,3.46,12.14,104.159,1.3,2.283,2.9,22.43,1.691,147.8,8.04,6.5,14.5392,0.6608,98.1,49,16.3,0.15,0,1,3.6,1.6,0,5.3,46.5,0.02,0,0.4,1.7,0.001,0,11.62,4.5,14.37,73.5,7.52,3.34,0.05,0,0,9,0,0,9,0,0,0,0,1.5,0,9,2.646,0,1.36,0,0.008,0.4,0.083,0.2,0,0.001,0.7,0,7.6,0,0,9,0,0.033,0,8.6,0.0018,0,9,6.4,0,0,0,9,9,0.009,0,1.93,3.5,0.26,0.1,0.201,0.4,0.46,0.1,0.57,9,0,0.1,0.96,2,9,0,1.7,0,0,0,9,0,1.1,0,0,9,2,58.3,19.97,0,0.29,0.5,0,3.9,0,9,2.55,9,0,9,2.51,9.39,1.79,2.1,9.58,0,6.99,0.03,9
"Guatemala",11.386,3.573,6.65,0,0.364,2.737,1.553,4.03,0.138,9,21.792,0,12.141,47.261,26.899,25.703,6.046,2.716,63.058,0,0.129,0.621,0.119,4.702,0.348,0.006,1.193,1.597,0.068,22.047,0.778,7.89,0.5644,0.0256,5.632,0.2,2.74,2.332,0,0,0,8.236,0,0.7,8.726,0,9,0.104,0.087,0,0,0,0,21.859,6.5,2.46,7.125,0.064,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,9,0,0,9,0,0,9,0,9,0,0,9,0.001,0,0.047,0,9,0.0318,0,0,0.135,9,0,0,0.001,0,0,0,19.09,0,0,0,0,0.284,0,9,0.005,0,9,0,0.839,0.4,0,9,0,2.15,9,0.3,9,9,0,9,4.144,0,0.098,7.571,0.639,0,0.073,0,9,0.413,0,0,1.96,0,0,0,0.061,0,1.479,0.876,0.927,9,0.203,0,0
"Honduras",48.829,5.785,0.005,0.003,0.086,9.696,5.226,28.052,2.084,0.333,7.213,12.141,0,0,1.98,7.753,0.977,3.289,4.641,0.09,0.004,1.48,1.256,6.73,0,0.004,0.015,0.855,0.035,8.719,0.028,2.525,4.1418,0.1882,2.612,5.664,0.901,0.248,0,0.085,0.146,4.325,0.199,0.662,2.432,0,0,0.572,0.241,0,0.001,0.265,0.119,2.97,4.216,1.584,2.377,0.311,0,0,0,0,0,9,0,0,0,0,9,0,0,0,9.128,0,0,0,0,0,9,0,0,0,9,0,9,9,0,0,9,0,0,0,9,0,0.212,0,0,0,0.001,0,0,0,0.484,0,0,0.2,0,0.082,0,9,0.002,0,0.003,0,0.489,0.4,9,0,0,0,9,0,9,0,1.086,9,1.025,0,0.974,25.81,0.45,0,0.648,0,0,0.052,0,0,0,0,0,9,0.522,0,0.078,0.005,0.108,9,0.017,9,0
"El Salvador",92.914,0.573,0.01,0,0.073,0.318,0.341,0.19,0.049,0,8.768,47.261,0,0,5.288,6.171,12.066,0.699,47.909,0,0.165,0.236,0.956,2.347,0.047,0,2.562,1.48,0.052,14.858,0.029,45.288,1.387,0.063,1.513,5.25,21.5,0.078,0,0,1.127,8.349,0.068,0.407,15.04,0,0,0.01,0.027,0.021,0,0,0,6.06,1.061,6.972,2.548,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4.992,0,0,0,0,0,0,0,0.076,0,0,0.5,0,0.3,0,0,0,0,0,0,0.17,0,9,0,0,0,0,0,9,0,0,0,7.242,0,1.6,5.372,0.372,0,0,9,0,0,0,0,0.28,0,0,0,0,0.416,0.188,0,1.487,0,2.65,0,0
"Nicaragua",31.368,11.272,0.04,0,0.273,2,0.355,1.246,0.373,9,7.093,26.899,1.98,5.288,0,3.671,2.135,3.064,50.879,0,0.002,0.02,0.174,1.529,0.046,0,0.557,1.167,0.024,11.278,0.023,6.331,10.3879,0.4721,2.034,1.005,3.501,2.482,0,0,4.177,5.749,0,0.421,1.242,0.02,9,0.02,0.236,0,0,0.992,0.211,2.12,0.055,2.26,2.749,0.023,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0.116,0,0,0,0,0,0,0,2.691,0.42,0,0,0,0,0,0,0,0,0.001,0,0.217,0,9,0,0,0.01,0,0,0,0,3.506,0,19.222,0,0.374,40.091,0.039,0,0.005,9,0,0.059,0,0,1.649,0.002,0,0,0.09,0.018,2.691,0.137,0.285,0,0.188,0,0
"Costa Rica",10.41,11.028,0.005,2.282,0.09,0.741,0.252,3.44,0.004,0,13.111,25.703,7.753,6.171,3.671,0,6.871,4.292,41.98,0,0.003,1.281,1.128,3.147,1.253,0,2,2.607,0.029,20.787,0.342,6.392,0.067,0.003,0.667,6.22,8.131,0.528,0,3.416,0.182,5.093,1.098,1.447,6.379,0,0.003,0.008,0.05,0.017,0.113,0.704,2.34,34.385,13.411,6.18,3.996,0.372,0,9.001,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,9,0,0,0,0,0,0,0,9,0.065,9,0.124,0,0,0,0,0,1.372,0,0.21,1.7,0.028,0.185,0.003,0,0,0.22,0,0.137,0.195,0.98,9,9,0.235,0,0,9,9,9,0.115,9,1.846,0.118,0.474,77.834,0.057,0,0.033,9,0,0.024,0,0,0.002,9,9,9,0.51,0.004,0.698,0.006,0.443,0.02,1.453,9,9
"Panama",117.706,4.016,1.251,0.378,0.16,0.249,0.505,22.624,0.335,0,2,6.046,0.977,12.066,2.135,6.871,0,10.894,33.14,0.049,3.236,148.521,0.156,42.054,0.048,0.001,1.334,6.4,3.468,11.906,0.055,2.549,0.4783,0.0217,2.175,24.746,0.876,0.167,0,0.196,1.136,8.755,0.268,0.532,31.416,0,9,13.941,0.877,0.004,0.001,2.978,0.021,3.184,2.944,2.694,4,0.048,0,0,9,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.096,0.004,0,0,0,0,0,0,9,0,9,9,0,9,0,0.1136,0,0,0.484,0,0,0,9,0,0,0,0.438,0,0.81,4.6,0,0.183,0.006,0,0,0.962,9.02,0,2.313,33.34,0,0,0.046,0,9,0,9,0,0.874,0,5.456,0,125.357,12.309,0.455,0,0.24,0.01,0,0.037,0,0,3.164,9,9,0,0.053,10.994,0.131,0.359,1.246,0,1.677,0,9
"Colombia",20.4,4.46,8.2,18.93,1.092,11.28,0.042,2.17,0.683,0.04,22.65,2.716,3.289,0.699,3.064,4.292,10.894,0,78.25,0.032,0.537,2.97,16.47,14.139,7.95,0.349,21.99,0.95,3.732,14.56,3.26,90.45,10.1966,0.4634,19.37,9.09,13.41,0.2,0,14.58,26.14,9.5,0.69,0.63,10.11,0.32,0.03,3.47,0.1,0,0.27,2.16,7.09,44.31,69.93,9.54,11.83,0.031,0,0,9,0,0.06,0,0.02,0,9,0,0.19,0,0,0.05,0.002,0.195,0,0.048,0.15,0,0,0,0.047,0,0.03,0,0,0,9,0,0.01,0,0,0.0009,0,9,1.55,9,9,0,0,9,0.003,9,2.4,2.38,0.05,0.34,0.038,2.39,0.07,0.03,0.07,0,0,0,1.24,0.2,9,0,0.01,0,0,0.01,0,9,2.04,9,2.31,0.06,1.1,70.87,0.23,0,0.08,0.01,0.01,0.31,9,0,0.26,0,9,0,0.47,7.16,0.21,0.2,0.19,0,0.22,9,0
"Venezuela",595,1249.2,66.2,0,0.038,117.9,113.623,22.07,13.655,0.028,40.2,63.058,4.641,47.909,50.879,41.98,33.14,78.25,0,1.724,3.391,0.17,79.98,34.378,4.1,0.502,30.1,28.41,12.283,15.4,5.58,35.4,95.6527,4.3473,79.8,111.9,52.46,4.27,0,0,0,28.3,0,4.9,187.5,0.08,9,2.76,0.35,0,0,1.65,0,7.36,37.8,24.44,33.53,0.087,0,0,0,0,0,1.199,0,0.287,9,0.816,3.77,0,9.285,0,0.937,0.314,6.228,1.537,2.3,0.035,0.001,9,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,5.21,0.35,0,3.971,0,9.1,9,0,0,0,0,6.74,0,9,9,0,0,0,0,0,0,0,0,0,0,8.6,582.4,5.24,0,0.42,0,0,0,0,0,0.08,9,0,0,1.3,3.6,8.03,3.2,4.9,0,5.5,0,9
"Guyana",30.603,8.673,0.02,0,0,0,9.047,51.117,2.375,0.4,0.072,0,0.09,0,0,0,0.049,0.032,1.724,0,0.352,0,0.04,0.926,0,0,0,3.846,0,1.4,0.063,6.011,0.7078,0.0322,3.721,1.683,2.528,0.01,0,5.27,0,0.204,0,0,2.215,0,0,0.26,0.21,0.008,0.001,0,0.018,0.162,0.955,7.181,0.652,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0.255,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.257,20.636,0,0,0,0,0,11.3,0,0,0,0,0,0.1,0,0,0,0,0,0,0,9,4.695,0,1.149,0,0.439,1.427,2.331,0,0.225,0.104,0,0,0,0,0,0,0,0,0.208,0.632,0,0.426,0.309,0,0.84,0,0
"Suriname",1.578,9.011,0.82,0.281,0.249,0.875,0.788,41.095,0.175,0.244,0.55,0.129,0.004,0.165,0.002,0.003,3.236,0.537,3.391,0.352,0,0,0.006,4.705,9,0,0,3.311,0,31.587,0.027,20.469,1.3678,0.0622,3.632,0.625,1.497,0.519,0,0.039,0.048,0.24,0.548,0.191,4.411,0.002,0,0.27,0.058,0.002,0,0.03,0.01,0.031,1.202,43.263,2.34,0.002,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,4.128,0,0,0.218,18.52,0.024,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,9,0,0.002,0,0.368,0,0,0,0,0,0.003,0,0,0,0,0,0.4,0.897,0,0,0,0.05,0,0,0,0,7.535,9,0,0,0.462,11.728,1.336,0,0,0,0,0,0,0,0.022,0,0,0,0.858,0,0.07,0.109,0.044,0,0.026,0,0
"Ecuador",221.64,18.1,0.04,0.02,0.006,0.38,0.143,18.29,0.001,9,3.46,0.621,1.48,0.236,0.02,1.281,148.521,2.97,0.17,0,0,0,182.8,9.578,0.16,0.071,67.97,4.07,0.125,10.58,6.33,1.05,0.9565,0.0435,2.72,15.46,9.86,5.57,0,3.75,0.27,3.03,14.47,1.7,6.3,0.31,9,17.58,2.69,0,0.6,6.42,12.21,3.65,13.61,0.15,3.7,0.121,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,9,9,0,9,0,9,9,0,0,0,0,0,9,0.64,0,0,0,9.01,0,0,0,3.74,0.02,0.25,2.5,0.02,2.6,0.05,12.9,0,2.02,0,0.29,1.72,2.6,0,0,0,0,9.66,3.1,0,0,1.64,0,4.32,9.02,0.26,138.07,0.57,0,0.05,9,0,0.39,0,9,0.01,0,9,0,3.63,0.34,3.12,2.28,4.52,0,6.18,0,9.33
"Peru",149.81,14.84,2.14,16.31,0,0.15,0.126,2.82,0.004,0,12.14,0.119,1.256,0.956,0.174,1.128,0.156,16.47,79.98,0.04,0.006,182.8,0,11.731,6.29,2.17,14.75,15.95,0.931,8.77,1.88,3.73,35.7837,1.6263,8.56,14.12,4.09,6.52,0,25.7,23.34,1.81,12.95,14.59,0.75,0,0,13.22,2.16,0,1.6,14.96,14.96,3.17,42.65,3.36,0.72,0.003,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,9,9.001,0,0,0,0,0,0,2.87,0,9,0,0.02,0,0,0,0,2.78,0,0,0,3,0.12,0,0,0,0,0.19,0.23,0.1,0,0,0,0,0,0.04,0,0,45.91,0,26.78,3.36,4.63,98.66,0,0,0.38,0.63,0,0,0,0,0,9,0,9,4.03,0.45,3.63,0,19.27,0,21.14,0,0
"Brazil",1533.801,199.491,42.529,0,2.01,20.58,6.399,4.827,2.689,0.001,104.159,4.702,6.73,2.347,1.529,3.147,42.054,14.139,34.378,0.926,4.705,9.578,11.731,0,67.442,3.98,248.932,148.631,4.526,48.859,9.943,129.849,24.1906,1.0994,14.423,228.485,392.117,18.825,0,44.529,27.745,57.882,126.732,30.462,50.736,2.026,9.29,84.11,29.689,4.113,31.627,14.009,375.969,15.885,98.763,39.756,121.772,1.544,0,0,0,9,0.54,0.08,3.279,0.01,5.93,0.01,2.18,0,9.4,1.291,0.292,3.159,5.71,0.335,19.528,115.168,0.001,9,2.75,1.504,0.174,0.027,1.221,0.158,0.07,0.008,0.457,21.992,3.901,0.4336,0,0,8.362,0,9,9,0.679,0.72,1.024,0.034,2.326,94.394,10.149,163.915,0.425,366.071,46.906,1239.94,5.653,19.72,2.139,5.41,4.043,1345.98,0.167,0,575.349,1.123,2.036,106.032,0.13,0,8.65,9,0.36,0,4.122,285.616,17.763,0,8.553,3.634,0,0.425,0,0,7.993,9,0,0,11.817,19.733,26.3,6.2,29.939,0.12,5.919,0.153,9.002
"Bolivia",32.82,0.7,0,0,0,0,0,0.03,0.004,0,1.3,0.348,0,0.047,0.046,1.253,0.048,7.95,4.1,0,9,0.16,6.29,67.442,0,0.182,2.8,10.54,0.081,27.333,0.67,5,12.7505,0.5795,11.133,8.4,12.5,0.2,0,0,0,1.4,0,0,5.938,0.01,0,0.32,1.07,0,9,0,0,0.11,9.5,0,2.26,0.002,0,0,0,0,0,0,9,0,0,0,0,9,0,0,9,0,0,0,9,0.002,9,0,0,0,0,0,9,0.541,0,0,0,9,0,0,9,0,0,9,9,0,9,0,0,0,0,0,0,0,6.969,0,0,0,0,0,0,0,2.32,0,9,0,0,0,9,0.2,9,9,0,0,0,0,0.2,38.233,0.62,0,0,0.04,0,0,0,0,0.99,0,9,0,0,0,0,0,0.14,9,0,0,0
"Paraguay",1.549,2.656,0,9,0,0,0.051,0.15,0.192,9,2.283,0.006,0.004,0,0,0,0.001,0.349,0.502,0,0,0.071,2.17,3.98,0.182,0,9.016,19.179,3.381,0.818,0.153,8.209,4.027,0.183,14.196,1.309,16.758,5.677,0,9,9,0.789,9,9,6.935,0,0,0.145,0.107,0,0,9,9,0.707,2.006,0.056,5.083,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,0,0.048,0,0,0,0,0.033,0,0,9,0,9,0,0,0,0,0,9,9,0,0.251,0,0,0,0,0,0,0,0,22.787,0.158,0,0,0,0.013,9,0,9,9,0,0.022,0.1,0,0,0,0,9,0,0,0,0,0,1.143,9,0.079,1.998,0.113,0,0.022,0,9,0,0,0,0.3,0,9,0,0,0.18,0.88,0.1,0.87,0.004,0,0,0
"Chile",153,20.2,0.01,0,0.023,0.02,0.015,0.06,0.94,9,2.9,1.193,0.015,2.562,0.557,2,1.334,21.99,30.1,0,0,67.97,14.75,248.932,2.8,9.016,0,74.86,3.547,93.1,0.56,26.4,58.4438,2.6562,78.6,22.7,40.47,1.03,0,0,0,14.3,0,0,80.2,0.01,0,22.21,6.74,0,1.69,2.66,0,0.76,8.3,0.01,0.94,0.026,0,0,0,0,0,0,0.01,9,0,0,0,0,9,0.02,0,0.015,9,0,9,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,8.3,0,0,0,0,0,0.001,0,0,0,0.49,0,0,48.4,0.99,0,0.01,0,0,0,0.2,0.5,9,9,0,0,0.66,3.6,9,0,30.9,0,9.5,0,15,111.2,0.24,0,0.05,1.53,0,1.3,0,0,1.27,0,0,9,1.85,0.96,7.09,0.1,0.03,0,0.07,0,0
