"","United States of America","Canada","Cuba","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Estonia","Latvia","Lithuania","Finland","Sweden","Norway","Denmark","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","Japan","Nepal","Thailand","Australia","New Zealand"
"Hungary",3.47,0,0.0022,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,3.89,0,0.02,0.52,0,0.07,4.74,0,0,5.66,0.14,4.92,0,2.3,0.37,0.009,2.35,0.15,0.36,2.93,0,0.0007,0.001,0.0001,0,0.4,0.07,0.4,0,0.0002,0,0,0.19,0,0,0,0,9.17,0,0,0,0,9.02,0
"Czechoslovakia",4.62,0.14,0.05,0,0.19,0.0088,0,9.05,0,0.03,0,0.23,0.0014,0,0.16,2.46,0,0,1.14,1.6,0.06,1.7315,1.9,0.0309,0.74,0,4.6589,4.78,1.4,0.35,15.2788,0.53,12.98,2.3,0,1.34,0.199,0.69,1.89,0.07,3.36,2.98,0.0026,0.14,0.73,0.3,0.63,0.44,0.16,0,0.0003,1.7899,1.03,0.35,0,0,0,9,0.8,0,0.29,0,0.0017,1.05,0.17
"Italy",32.38,1.45,0.34,0.07,0.2,0,0.097,0.78,0.02,0.14,0.083,0.69,9.44,0.12,0.54,4.47,0.24,0.1237,1.44,20.91,0.59,16.93,0,0.4932,7.73,0,2.04,15.97,2.84,1.14,30.21,1.48,4.36,0.37,1.34,0,0.4,4.04,0.15,0.23,0.88,6.71,0,0.01,0.17,0.58,1.76,1.45,0.19,0,0,1.42,1.56,0.35,0,0,0,0,3.21,0,0,0,0.04,10.16,0.36
"Albania",0.1,0.0001,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0.2696,0,0.0082,0,0,0.05,0,0,0,0.17,0.0002,0.0766,0.009,0.199,0.4,0,0.1745,0.09,0,0.0005,0,0,0,0,0,0,9,0,0,0,0,0,0.0033,0,0,0,0,9,0,0,0,0,0.0002,0.0003
"Yugoslavia",1.12,0.0035,0.0001,0.02,0.01,0.01,0.0077,0.01,0.02,0.0092,0.0049,0.13,0.0005,0.0004,0.0017,0.9483,0,0.01,0.0598,0.87,0.0085,2.38,0.0018,0.21,1.55,0,0.83,1.73,0.51,0.0181,1.42,0.16,6.68,2.35,0.69,4.04,0.1745,0,1.58,0.07,0.63,0.07,0.0046,0.0099,0.0006,0.0005,0.13,0.0825,0.03,0.0007,0.0032,0.0161,0.0093,0,0.0001,0,0,0,0.0598,0,0.0696,0,0.0006,0.0137,0.0195
"Greece",1.08,1.7,0.0028,0,0.0075,0,0,0,0,0.0002,0,0,0,0,0.003,0.27,9,0,0.0013,3.77,0,0.81,0.2666,0.5,3,0,0.45,0.39,0.02,0.0095,0.38,0.27,0.76,0.15,1.89,0.15,0.09,1.58,0,0.16,2.67,4.46,0.0099,0.0042,0,0.22,0.47,0.1,0.12,0,0.3599,0.02,0.0016,1.69,0,0,0,9,0.0099,0,0.4097,0,0,0.49,0.0033
"Bulgaria",0.18,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0.69,1.76,0,0.03,0.03,0,0,1.85,0.25,0.86,0.36,0.07,0.23,0,0.07,0.16,0,1.16,0.1,0,0.0012,0.0029,0,0,0.0524,0.01,0,0,0,0,0.18,0,0,0,0,0,0,0.01,0,0,0,0
"Romania",2.71,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,9.21,2.89,0,4.12,2.63,0,0,6.18,1.66,1.02,2.93,3.36,0.88,0.0005,0.63,2.67,1.16,0,0,0.02,0.2,0.0195,0,0,0.24,2.96,0,0,0,0,0.12,0,0,0,0,0,0,0.09,0,0,0,0
"Russia",3.41,9.08,0.0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,1.94,37.1,0,11.73,15.53,0,17.36,1.49,1.88,0,21.56,3.39,0.38,0,2.98,6.71,0,0.07,4.46,0.1,0,0,0.28,0.57,0.56,2.12,3.18,0.22,7.62,0,0,0,1.01,0.31,0,0,0,0,3.71,0,6.15,0,0,0,0
"Estonia",0.57,0.0099,0,0,0.0032,0,0,0,0,0,0,0,0,0,0.0044,0,0,0,0,0.1171,0,2.63,0,0.05,0.07,0,0.84,0.06,0.02,0.01,0.23,0.22,0.0017,0.0007,0.0026,0,0,0.0046,0.0099,0,0.02,0.28,0,0.3,0.04,0.2,0.13,0.17,0.1,0,0,0,0,0.0079,0,0,0,0,0.01,0,0,0,0,0.0076,0.001
