"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Poland","Hungary","Czechoslovakia","Italy","Albania","Yugoslavia","Greece","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Liberia","Ethiopia","South Africa","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Saudi Arabia","Yemen Arab Republic","Afghanistan","China","Mongolia","India","Pakistan","Nepal","Thailand","Philippines","Australia","New Zealand"
"Argentina",0,0,0.25,0.0058,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0,0,284.87,0,60.98,0,0,308.8509,0,0,0,0.29,0,2.96,0,0,0.16,0.06,0,0,0,0,0,27.9821,17.8,0,0,0.0065,0,0,0,0,0.02,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",0,0,9.37,9,9.02,0,0,0,0,0,0,0,0,0,0,0,0,0,11.58,0,0,0,0,0,1.16,0,0,21.3745,0,0,0,9,0,0.38,0,9,9.05,9.04,0,0,0,0,0,0.02,0.62,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",0,0,134.14,2.35,36.49,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,0,284.87,0,0,0,48.77,0,0,151.585,0,0,0,157.92,0,43.9033,0,7.9799,89.2,105.71,0,0,0,0,0,90.47,31.3,0,0,16.08,0,0,0,0,301.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ireland",0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,11.59,0,0,5.5023,0,0,0,0,0,5.69,0,0,0,1.19,0,0,0,0,0,1.82,1.79,0,0,0,0,0,0,0,0.41,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netherlands",424.64,3.24,10.31,0,0,2.02,0,0,0,0.03,0.16,0,2.42,0,0,0.53,26.67,0,0,0,60.98,1.16,48.77,11.59,0,0,0,55.9578,0.43,2.55,6.29,0,0,12.86,6.67,0,0,0,0,0,0,18.51,12.2,23.64,11.35,0,0,0,9.46,0,0,0,0,0,0,0,0,0,0,0,0,5.3456,0,0,0,0,4.32,1.95
"Belgium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",2631.001,216.4299,15.2284,2.5215,7.7514,63.7024,0.1376,0.1889,0.0274,0.11,0.08,0,0.4827,134.8243,1.7777,15.6819,131.7547,2.3034,4.9637,96.177,308.8509,21.3745,151.585,5.5023,55.9578,0,0,0,95.3266,0.07,7.0416,29.9411,3.7218,26.6126,44.3374,0.0001,6.601,3.3118,5.4416,0.1923,27.0975,45.0458,111.2019,45.8854,18.9904,7.2534,9,9,55.1346,47.6805,27.7091,62.5413,105.7721,0,9,9,9,0,0.0698,38.2047,0,119.3458,9,0,0.0654,62.7915,216.3811,43.1264
"Switzerland",0,0,6.18,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0.43,0,0,95.3266,0,0,0,16.89,0,16.62,0,0.0001,4.6,1.6,0,0,0,0,0,1.35,17.64,0,0,1.34,0,0,0,0,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",76,0,2.47,0,0.6647,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1972,0,0,0,0,0,2.55,0,0,0.07,0,0,0,0,0,0.16,0,0,0,0.0064,0,0,0,0,0,3.75,3.88,0,0,0.0004,0,0,0,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portugal",0,0,3.01,0.0003,0.0094,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0796,0,0,0,0,0,6.29,0,0,7.0416,0,0,0,0.1283,0,2.6,0,0,0.0034,0.0011,0,0,0,0,0,6.67,1.11,0,0,0.0013,0,0,0,0,1.2462,0.0436,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poland",106.37,14.0675,0,0,0,9.22,0,0,0,9,0,0,0.0003,0,0,0.02,1.99,0,0,0,0.29,9,157.92,0,0,0,0,29.9411,16.89,0,0.1283,0,0,13.19,7,0,0,0,0,0,0,0,40.61,10.15,19.08,0,0,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0.0086,0.8497
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7218,0,0,0,0,0,10.34,0,0,0,0,0,0,2.7,0,0,0.67,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Czechoslovakia",37.1124,3.97,0.2,0,0,0.87,0.01,0,0,0.0061,0,0,0.35,0.63,0.03,0.01,11.92,0.0017,0.115,0.02,2.96,0.38,43.9033,5.69,12.86,0,0,26.6126,16.62,0.16,2.6,13.19,10.34,0,11.19,0.005,25.19,5.06,17.06,4.4,37.17,1,3.65,0.66,2.73,1.96,0,0.02,5.47,0.62,15.12,0,16.37,0.56,0,0,0,0,9,0.04,0,1.2398,0,0,0.0006,1.39,2.92,0.38
"Italy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,44.3374,0,0,0,7,0,11.19,0,0,22.05,10.55,0,0,0,0,0,9.29,2.44,0,0,0,0,0,0,0,42.64,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albania",4.542,0.46,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,7.9799,0,0,0,0,0.0001,0.0001,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12
"Yugoslavia",25.73,6.13,0,0,0,9.0002,0,0,0,0,0,0,0,0,0,0.0004,0,0,0,0,0.16,9.05,89.2,0,0,0,0,6.601,4.6,0,0.0034,0,0,25.19,22.05,0,0,0,0,0,0,0,1.42,0.12,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0096,0.169
"Greece",149.88,4.9,0,0,0,9.03,0,0,0,9,0,0,0,0,0,0,0.51,0,0,0,0.06,9.04,105.71,1.19,0,0,0,3.3118,1.6,0.0064,0.0011,0,0,5.06,10.55,0,0,0,0,0,0,0,0.46,0.73,0.0013,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.03,1.0824
